"Name","Runtime","Notes","State","Sweep","Tags","beta","gradient_accumulation_steps","learning_rate","max_steps","per_device_train_batch_size","eval/logits/chosen","eval/logits/rejected","eval/logps/chosen","eval/logps/rejected","eval/loss","eval/rewards/accuracies","eval/rewards/chosen","eval/rewards/margins","eval/rewards/rejected","eval/runtime","eval/samples_per_second","eval/steps_per_second","total_flos","train/epoch","train/global_step","train/grad_norm","train/learning_rate","train/logits/chosen","train/logits/rejected","train/logps/chosen","train/logps/rejected","train/loss","train/rewards/accuracies","train/rewards/chosen","train/rewards/margins","train/rewards/rejected","train_loss","train_runtime","train_samples_per_second","train_steps_per_second"
"logical-sweep-2","2596","-","finished","r6rta83w","","0.01","2","0.00001723552725330322","500","8","-110.0878677368164","-112.78256225585938","-385.4213562011719","-574.9120483398438","0.4534589350223541","0.828933835029602","-0.4314919710159302","1.3186163902282717","-1.7501084804534912","111.3291","11.551","1.446","0","0.691085003455425","500","4.351250648498535","0","-110.10560607910156","-112.09284973144533","-429.630859375","-621.6300048828125","0.4766","0.862500011920929","-0.537605881690979","1.318427324295044","-1.856032967567444","0.4855641484260559","2542.8561","3.146","0.197"
"confused-sweep-1","418","-","finished","r6rta83w","","0.01","1","0.000004561061650407667","200","2","-104.23011779785156","-106.0703353881836","-386.594482421875","-477.2344665527344","0.5795738697052002","0.7846790552139282","-0.44322317838668823","0.3301087021827698","-0.7733319401741028","74.1682","17.339","2.171","0","0.03456022118541559","200","12.47789192199707","0","-105.52587890625","-109.1531219482422","-467.51605224609375","-540.8406982421875","0.5023","0.800000011920929","-0.4235521256923675","0.5121619701385498","-0.9357141256332396","0.6150976622104645","362.0261","1.105","0.552"
"daily-sweep-5","4013","-","finished","r6rta83w","","0.01","4","0.000026814264625236384","500","8","-115.41560363769533","-117.09333801269533","-382.0509338378906","-588.4556274414062","0.4275810718536377","0.8328158259391785","-0.3977881073951721","1.4877558946609497","-1.885543942451477","111.6757","11.515","1.442","0","1.38217000691085","500","3.999524593353271","0","-115.5649185180664","-116.95320129394533","-411.8015747070313","-617.9849853515625","0.3967","0.8500000238418579","-0.38072606921195984","1.6315053701400757","-2.0122315883636475","0.44236445021629334","3960.0476","4.04","0.126"
"avid-sweep-9","4034","-","finished","r6rta83w","","0.01","4","0.000003957970485030042","500","8","-109.51380157470705","-112.55423736572266","-392.7971496582031","-539.804931640625","0.4861728847026825","0.8149586319923401","-0.5052496194839478","0.8937867879867554","-1.3990362882614136","112.5191","11.429","1.431","0","1.38217000691085","500","4.562968730926514","0","-110.774169921875","-113.65995025634766","-428.4375915527344","-567.1654052734375","0.4924","0.8374999761581421","-0.547086775302887","0.9569488763809204","-1.5040355920791626","0.5206220598220825","3981.808","4.018","0.126"
"fanciful-sweep-6","4013","-","finished","r6rta83w","","0.1","4","0.0000022150360231826947","500","8","-102.2720947265625","-103.17034912109376","-342.80712890625","-412.82861328125","0.4502000510692597","0.8258281946182251","-0.05349598824977875","1.239234447479248","-1.292730450630188","111.9254","11.49","1.438","0","1.38217000691085","500","29.70884704589844","0","-102.99082946777344","-103.6615753173828","-373.69049072265625","-430.96343994140625","0.4191","0.8500000238418579","0.0038474281318485737","1.4240059852600098","-1.420158624649048","0.4519922022819519","3957.8531","4.043","0.126"
"magic-sweep-7","4017","-","finished","r6rta83w","","0.1","4","0.00062437790032106","500","8","-25.83558654785156","-25.588382720947266","-454.8262939453125","-562.2619018554688","1.2066082954406738","0.7782090902328491","-11.255414009094238","4.980652332305908","-16.236064910888672","111.4102","11.543","1.445","0","1.38217000691085","500","6.694983005523682","0","-25.702655792236328","-25.29912376403809","-462.50537109375","-610.7501220703125","0.1138","0.981249988079071","-8.877643585205078","10.5211820602417","-19.39882469177246","1.3255812149643895","3956.5617","4.044","0.126"
"distinctive-sweep-3","1043","-","finished","r6rta83w","","0.1","4","0.00003686353855570995","100","2","-98.01488494873048","-98.74951171875","-348.3552551269531","-428.2044372558594","0.7029196619987488","0.8002070784568787","-0.6083112955093384","2.222004652023315","-2.8303160667419434","383.3532","3.355","0.42","0","0.06912044237083118","100","74.9346923828125","0","-96.88885498046876","-99.62560272216795","-345.82855224609375","-480.49505615234375","0.8432","0.824999988079071","-1.107548475265503","3.0510473251342773","-4.158595561981201","0.5499113953113556","989.2771","0.809","0.101"
"ruby-sweep-8","4011","-","finished","r6rta83w","","0.1","4","0.000003026088387357784","500","8","-101.79461669921876","-102.66180419921876","-342.1629943847656","-412.7121887207031","0.44785210490226746","0.8366977572441101","0.01091438252478838","1.2920063734054563","-1.2810919284820557","111.2287","11.562","1.447","0","1.38217000691085","500","29.37512588500977","0","-102.47196197509766","-103.11421966552734","-372.78863525390625","-431.2923278808594","0.3908","0.856249988079071","0.09402962028980257","1.5470778942108154","-1.4530483484268188","0.44564656949043274","3959.2807","4.041","0.126"
"crimson-sweep-4","4051","-","finished","yxm6kziu","","0.2","4","0.00006177762643175814","500","8","-62.14893341064453","-61.52825546264648","-337.4981994628906","-411.1946411132813","0.6629102230072021","0.80952388048172","0.9547890424728394","3.2134578227996826","-2.258668899536133","111.9297","11.489","1.438","0","1.38217000691085","500","31.799222946166992","0","-61.7824592590332","-60.182106018066406","-361.36328125","-436.58599853515625","0.123","0.962499976158142","2.4731318950653076","6.43795919418335","-3.964827299118042","0.610577816605568","3998.9984","4.001","0.125"
"daily-sweep-1","4090","-","finished","yxm6kziu","","0.2","4","0.00005381419613766512","500","8","-71.81622314453125","-71.18098449707031","-337.60430908203125","-411.2107543945313","0.6583840250968933","0.8219462037086487","0.933567762374878","3.195467233657837","-2.261899471282959","112.9478","11.386","1.425","0","1.38217000691085","500","36.162654876708984","0","-71.37557220458984","-70.16059875488281","-362.9773864746094","-434.99847412109375","0.141","0.956250011920929","2.1503090858459473","5.7976393699646","-3.6473300457000737","0.5877755675315857","4039.493","3.961","0.124"
"logical-sweep-4","2257","-","finished","r6rta83w","","0.2","4","0.000005829907624893821","500","4","-99.6612548828125","-100.35081481933594","-340.7038269042969","-407.2088012695313","0.4915381371974945","0.8100413680076599","0.3136604130268097","1.7751638889312744","-1.4615036249160769","164.5979","7.813","0.978","0","0.691085003455425","500","57.609840393066406","0","-100.84494018554688","-100.89285278320312","-374.3104553222656","-446.1258850097656","0.441","0.8374999761581421","0.36635079979896545","2.3741648197174072","-2.0078139305114746","0.5310140473842621","2202.8619","3.632","0.227"
"woven-sweep-5","4057","-","finished","yxm6kziu","","0.2","4","0.000067513197701362","500","8","-53.7030143737793","-52.229454040527344","-337.94354248046875","-413.4725341796875","0.6912294626235962","0.8110766410827637","0.86572265625","3.5799694061279297","-2.7142465114593506","112.6461","11.416","1.429","0","1.38217000691085","500","34.14213562011719","0","-53.061676025390625","-50.743896484375","-361.1261291503906","-439.8006896972656","0.1204","0.949999988079071","2.520569324493408","7.128338813781738","-4.607769012451172","0.6190787448287011","4005.8048","3.994","0.125"
"feasible-sweep-2","4085","-","finished","yxm6kziu","","0.5","4","0.00016925859368584903","500","8","-24.06160545349121","-25.07729148864746","-349.6313781738281","-429.079345703125","2.0948994159698486","0.8035714030265808","-3.67962646484375","10.909401893615724","-14.589028358459473","112.9734","11.383","1.425","0","1.38217000691085","500","12.544321060180664","0","-24.425350189208984","-24.607894897460938","-365.19476318359375","-459.9284057617187","0.2505","0.956250011920929","4.2671074867248535","25.850399017333984","-21.58329391479492","2.0560465336441993","4031.591","3.969","0.124"
"soft-sweep-3","4055","-","finished","yxm6kziu","","0.5","4","0.00014674582135234263","500","8","-28.700679779052734","-28.694927215576172","-346.7014465332031","-425.4858703613281","2.000473737716675","0.7989130616188049","-2.214649438858032","10.57765769958496","-12.79230785369873","111.9544","11.487","1.438","0","1.38217000691085","500","3.8528668880462646","0","-28.49651527404785","-28.06548500061035","-364.73626708984375","-455.2311096191406","0.0811","0.975000023841858","4.496340751647949","23.730993270874023","-19.23465347290039","1.898089535832405","4005.0091","3.995","0.125"